model,paper-title href,accuracy,parameters,github href,paper href,paper title,year,Industry Affiliation,Academia Affiliation,Country,Extra Training Data
ViT-H/14,https://paperswithcode.com/paper/an-image-is-worth-16x16-words-transformers-1,99.50±0.06,632M,https://paperswithcode.com/paper/an-image-is-worth-16x16-words-transformers-1#code,https://paperswithcode.com/paper/an-image-is-worth-16x16-words-transformers-1/review/?hl=20351,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,2020,Google ,,,Yes
CaiT-M-36 U 224,https://paperswithcode.com/paper/going-deeper-with-image-transformers,99.4,,https://paperswithcode.com/paper/going-deeper-with-image-transformers#code,https://paperswithcode.com/paper/going-deeper-with-image-transformers/review/?hl=29443,Going deeper with Image Transformers,2021,Facebook AI Research,Sorbonne University,,Yes
CvT-W24,https://paperswithcode.com/paper/cvt-introducing-convolutions-to-vision,99.39,,https://paperswithcode.com/paper/cvt-introducing-convolutions-to-vision#code,https://paperswithcode.com/paper/cvt-introducing-convolutions-to-vision/review/?hl=29255,CvT: Introducing Convolutions to Vision Transformers,2021,Microsoft Cloud AI,McGill University,,Yes
BiT-L,https://paperswithcode.com/paper/large-scale-learning-of-general-visual,99.37,,https://paperswithcode.com/paper/large-scale-learning-of-general-visual#code,https://paperswithcode.com/paper/large-scale-learning-of-general-visual/review/?hl=9479,Big Transfer (BiT): General Visual Representation Learning,2019,Google ,,,Yes
CeiT-S,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual,99.1,,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual#code,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual/review/?hl=28519,Incorporating Convolution Designs into Visual Transformers,2021,SenseTime,"Nanyang Technological University, HKUST",,Yes
AutoFormer-S | 384,https://paperswithcode.com/paper/autoformer-searching-transformers-for-visual,99.1,23M,https://paperswithcode.com/paper/autoformer-searching-transformers-for-visual#code,https://paperswithcode.com/paper/autoformer-searching-transformers-for-visual/review/?hl=37557,AutoFormer: Searching Transformers for Visual Recognition,2021,Microsoft Asia,Stony Brook University,,Yes
TNT-B,https://paperswithcode.com/paper/transformer-in-transformer,99.1,65.6M,https://paperswithcode.com/paper/transformer-in-transformer#code,https://paperswithcode.com/paper/transformer-in-transformer/review/?hl=27421,Transformer in Transformer,2021,Huawei Inc.,"University of Macau, University of Chinese Academy of Sciences",,Yes
DeiT-B,https://paperswithcode.com/paper/training-data-efficient-image-transformers,99.1,86M,https://paperswithcode.com/paper/training-data-efficient-image-transformers#code,https://paperswithcode.com/paper/training-data-efficient-image-transformers/review/?hl=23830,Training data-efficient image transformers & distillation through attention,2020,Facebook AI Research,Sorbonne University,,Yes
EfficientNetV2-L,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster,99.1,121M,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster#code,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster/review/?hl=29457,EfficientNetV2: Smaller Models and Faster Training,2021,Google Brain,,,Yes
LaNet,https://paperswithcode.com/paper/sample-efficient-neural-architecture-search-1,99.03,44.1M,https://paperswithcode.com/paper/sample-efficient-neural-architecture-search-1#code,https://paperswithcode.com/paper/sample-efficient-neural-architecture-search-1#results,Sample-Efficient Neural Architecture Search by Learning Action Space for Monte Carlo Tree Search,2019,Facebook AI Research,Brown University,,No
GPIPE + transfer learning,https://paperswithcode.com/paper/gpipe-efficient-training-of-giant-neural,99,,https://paperswithcode.com/paper/gpipe-efficient-training-of-giant-neural#code,https://paperswithcode.com/paper/gpipe-efficient-training-of-giant-neural/review/?hl=3082,GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism,2018,Google ,,,Yes
TResNet-XL,https://paperswithcode.com/paper/tresnet-high-performance-gpu-dedicated,99,,https://paperswithcode.com/paper/tresnet-high-performance-gpu-dedicated#code,https://paperswithcode.com/paper/tresnet-high-performance-gpu-dedicated/review/?hl=10492,TResNet: High Performance GPU-Dedicated Architecture,2020,Amazon,,,Yes
CeiT-S,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual,99,,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual#code,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual/review/?hl=28512,Incorporating Convolution Designs into Visual Transformers,2021,SenseTime,"Nanyang Technological University, HKUST",,Yes
GFNet-H-B,https://paperswithcode.com/paper/global-filter-networks-for-image,99,54M,https://paperswithcode.com/paper/global-filter-networks-for-image#code,https://paperswithcode.com/paper/global-filter-networks-for-image#results,Global Filter Networks for Image Classification,2021,,"Tsinghua University, Beijing National Research Center for Information Science and Technology",,Yes
EfficientNetV2-M,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster,99,55M,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster#code,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster/review/?hl=29453,EfficientNetV2: Smaller Models and Faster Training,2021,Google Brain,,,Yes
BiT-M,https://paperswithcode.com/paper/large-scale-learning-of-general-visual,98.91,,https://paperswithcode.com/paper/large-scale-learning-of-general-visual#code,https://paperswithcode.com/paper/large-scale-learning-of-general-visual/review/?hl=9483,Big Transfer (BiT): General Visual Representation Learning,2019,Google Brain,,,Yes
EfficientNet-B7,https://paperswithcode.com/paper/efficientnet-rethinking-model-scaling-for,98.9,64M,https://paperswithcode.com/paper/efficientnet-rethinking-model-scaling-for#code,https://paperswithcode.com/paper/efficientnet-rethinking-model-scaling-for/review/?hl=11231,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,2019,Google Brain,,,Yes
"PyramidNet-272, S=4",https://paperswithcode.com/paper/splitnet-divide-and-co-training,98.71,32.6M,https://paperswithcode.com/paper/splitnet-divide-and-co-training#code,https://paperswithcode.com/paper/splitnet-divide-and-co-training#results,Towards Better Accuracy-efficiency Trade-offs: Divide and Co-training,2020,,"The Chinese University of Hong Kong, Zhejiang University",,No
ResMLP-24,https://paperswithcode.com/paper/resmlp-feedforward-networks-for-image,98.7,,https://paperswithcode.com/paper/resmlp-feedforward-networks-for-image#code,https://paperswithcode.com/paper/resmlp-feedforward-networks-for-image/review/?hl=34938,ResMLP: Feedforward networks for image classification with data-efficient training,2021,"Facebook AI Research, Valeo","Sorbonne University, Inria",,Yes
EfficientNetV2-S,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster,98.7,24M,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster#code,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster/review/?hl=29449,EfficientNetV2: Smaller Models and Faster Training,2021,Google Brain,,,Yes
PyramidNet-272,https://paperswithcode.com/paper/asam-adaptive-sharpness-aware-minimization,98.68,26M,https://paperswithcode.com/paper/asam-adaptive-sharpness-aware-minimization#code,https://paperswithcode.com/paper/asam-adaptive-sharpness-aware-minimization/review/?hl=32002,ASAM: Adaptive Sharpness-Aware Minimization for Scale-Invariant Learning of Deep Neural Networks,2021,Samsung,,,No
PyramidNet + ShakeDrop + Fast AA + FMix,https://paperswithcode.com/paper/understanding-and-enhancing-mixed-sample-data,98.64,26.21M,https://paperswithcode.com/paper/understanding-and-enhancing-mixed-sample-data#code,https://paperswithcode.com/paper/understanding-and-enhancing-mixed-sample-data/review/?hl=10148,FMix: Enhancing Mixed Sample Data Augmentation,2020,,University of Southampton,,No
PyramidNet,https://paperswithcode.com/paper/sharpness-aware-minimization-for-efficiently-1,98.6,,https://paperswithcode.com/paper/sharpness-aware-minimization-for-efficiently-1#code,https://paperswithcode.com/paper/sharpness-aware-minimization-for-efficiently-1/review/?hl=21310,Sharpness-Aware Minimization for Efficiently Improving Generalization,2020,Google ,,,Yes
ConvMLP-M,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for,98.6,,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for#code,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for/review/?hl=39259,ConvMLP: Hierarchical Convolutional MLPs for Vision,2021,PicsArt Inc.,"UIUC, University of Oregon",,Yes
ConvMLP-L,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for,98.6,,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for#code,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for/review/?hl=39262,ConvMLP: Hierarchical Convolutional MLPs for Vision,2021,PicsArt Inc.,"UIUC, University of Oregon",,Yes
ViT-B/16- SAM,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets,98.6,87M,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets#code,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets/review/?hl=34323,When Vision Transformers Outperform ResNets without Pre-training or Strong Data Augmentations,2021,Google ,UCLA,,Yes
DVT,https://paperswithcode.com/paper/not-all-images-are-worth-16x16-words-dynamic,98.53,,https://paperswithcode.com/paper/not-all-images-are-worth-16x16-words-dynamic#code,https://paperswithcode.com/paper/not-all-images-are-worth-16x16-words-dynamic/review/?hl=34136,Not All Images are Worth 16x16 Words: Dynamic Transformers for Efficient Image Recognition,2021,Huawei Inc.,"Tsinghua University, Beijing Academy of Intelligence",,Yes
E2E-3M,https://paperswithcode.com/paper/rethinking-recurrent-neural-networks-and,98.52,20M,https://paperswithcode.com/paper/rethinking-recurrent-neural-networks-and#code,https://paperswithcode.com/paper/rethinking-recurrent-neural-networks-and/review/?hl=18984,Rethinking Recurrent Neural Networks and Other Improvements for Image Classification,2020,,University of Coimbra,,No
CeiT-T,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual,98.5,,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual#code,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual/review/?hl=28498,Incorporating Convolution Designs into Visual Transformers,2021,SenseTime,"Nanyang Technological University, HKUST",,Yes
NAT-M4,https://paperswithcode.com/paper/neural-architecture-transfer,98.4,6.9M,https://paperswithcode.com/paper/neural-architecture-transfer#code,https://paperswithcode.com/paper/neural-architecture-transfer/review/?hl=16571,Neural Architecture Transfer,2020,,"Southern University of Science and Technology, Michigan State University",,Yes
"WRN-40-10, S=4",https://paperswithcode.com/paper/splitnet-divide-and-co-training,98.38,55.9M,https://paperswithcode.com/paper/splitnet-divide-and-co-training#code,https://paperswithcode.com/paper/splitnet-divide-and-co-training#results,Towards Better Accuracy-efficiency Trade-offs: Divide and Co-training,2020,,"The Chinese University of Hong Kong, Zhejiang University",,No
"WRN-28-10, S=4",https://paperswithcode.com/paper/splitnet-divide-and-co-training,98.32,36.7M,https://paperswithcode.com/paper/splitnet-divide-and-co-training#code,https://paperswithcode.com/paper/splitnet-divide-and-co-training#results,Towards Better Accuracy-efficiency Trade-offs: Divide and Co-training,2020,,"The Chinese University of Hong Kong, Zhejiang University",,No
"Shake-Shake 26 2x96d, S=4",https://paperswithcode.com/paper/splitnet-divide-and-co-training,98.31,26.3M,https://paperswithcode.com/paper/splitnet-divide-and-co-training#code,https://paperswithcode.com/paper/splitnet-divide-and-co-training#results,Towards Better Accuracy-efficiency Trade-offs: Divide and Co-training,2020,,"The Chinese University of Hong Kong, Zhejiang University",,No
ResNet50,https://paperswithcode.com/paper/resnet-strikes-back-an-improved-training,98.3,25M,https://paperswithcode.com/paper/resnet-strikes-back-an-improved-training#code,https://paperswithcode.com/paper/resnet-strikes-back-an-improved-training#results,ResNet strikes back: An improved training procedure in timm,2021,Facebook AI Research,Sorbonne University,,No
PyramidNet+ShakeDrop,https://paperswithcode.com/paper/fast-autoaugment,98.3,26.21M,https://paperswithcode.com/paper/fast-autoaugment#code,https://paperswithcode.com/paper/fast-autoaugment/review/?hl=9314,Fast AutoAugment,2019,Kakao Brain,,,No
NoisyDARTS-A-t,https://paperswithcode.com/paper/noisy-differentiable-architecture-search,98.28,,https://paperswithcode.com/paper/noisy-differentiable-architecture-search#code,https://paperswithcode.com/paper/noisy-differentiable-architecture-search/review/?hl=16508,Noisy Differentiable Architecture Search,2020,Xiaomi,,,Yes
LeViT-192,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s,98.2,,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s#code,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s/review/?hl=29482,LeViT: a Vision Transformer in ConvNet's Clothing for Faster Inference,2021,Facebook AI Research,,,Yes
ResNet-152-SAM,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets,98.2,,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets#code,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets/review/?hl=34321,When Vision Transformers Outperform ResNets without Pre-training or Strong Data Augmentations,2021,Google ,UCLA,,Yes
ViT-S/16- SAM,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets,98.2,,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets#code,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets/review/?hl=34322,When Vision Transformers Outperform ResNets without Pre-training or Strong Data Augmentations,2021,Google ,UCLA,,Yes
NAT-M3,https://paperswithcode.com/paper/neural-architecture-transfer,98.2,6.2M,https://paperswithcode.com/paper/neural-architecture-transfer#code,https://paperswithcode.com/paper/neural-architecture-transfer/review/?hl=16572,Neural Architecture Transfer,2020,,"Southern University of Science and Technology, Michigan State University",,Yes
LeViT-256,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s,98.1,,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s#code,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s/review/?hl=29473,LeViT: a Vision Transformer in ConvNet's Clothing for Faster Inference,2021,Facebook AI Research,,,Yes
ResMLP-12,https://paperswithcode.com/paper/resmlp-feedforward-networks-for-image,98.1,,https://paperswithcode.com/paper/resmlp-feedforward-networks-for-image#code,https://paperswithcode.com/paper/resmlp-feedforward-networks-for-image/review/?hl=34937,ResMLP: Feedforward networks for image classification with data-efficient training,2021,"Facebook AI Research, Valeo","Sorbonne University, Inria",,Yes
PyramidNet + AA,https://paperswithcode.com/paper/regularizing-neural-networks-via-adversarial,98.02,27.22M,https://paperswithcode.com/paper/regularizing-neural-networks-via-adversarial#code,https://paperswithcode.com/paper/regularizing-neural-networks-via-adversarial#results,Regularizing Neural Networks via Adversarial Model Perturbation,2020,,"Beihang University, University of Ottawa",,No
EnAET,https://paperswithcode.com/paper/enaet-self-trained-ensemble-autoencoding,98.01,36.5M,https://paperswithcode.com/paper/enaet-self-trained-ensemble-autoencoding#code,https://paperswithcode.com/paper/enaet-self-trained-ensemble-autoencoding/review/?hl=8859,EnAET: A Self-Trained framework for Semi-Supervised and Supervised Learning with Ensemble Transformations,2019,Futurewei,"Purdue University, University of Rochester, ",,No
LeViT-384,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s,98,,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s#code,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s/review/?hl=29464,LeViT: a Vision Transformer in ConvNet's Clothing for Faster Inference,2021,Facebook AI Research,,,Yes
ConvMLP-S,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for,98,,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for#code,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for/review/?hl=39256,ConvMLP: Hierarchical Convolutional MLPs for Vision,2021,PicsArt Inc.,"UIUC, University of Oregon",,Yes
MUXNet-m,https://paperswithcode.com/paper/muxconv-information-multiplexing-in,98,2.1M,https://paperswithcode.com/paper/muxconv-information-multiplexing-in#code,https://paperswithcode.com/paper/muxconv-information-multiplexing-in/review/?hl=16111,MUXConv: Information Multiplexing in Convolutional Neural Networks,2020,,Michigan State University,,Yes
CCT-7/3x1*,https://paperswithcode.com/paper/escaping-the-big-data-paradigm-with-compact,98,3.76M,https://paperswithcode.com/paper/escaping-the-big-data-paradigm-with-compact#code,https://paperswithcode.com/paper/escaping-the-big-data-paradigm-with-compact/review/?hl=38235,Escaping the Big Data Paradigm with Compact Transformers,2021,PicsArt Inc.,"UIUC, University of Oregon",,No
Proxyless-G + c/o,https://paperswithcode.com/paper/proxylessnas-direct-neural-architecture,97.92,5.7M,https://paperswithcode.com/paper/proxylessnas-direct-neural-architecture#code,https://paperswithcode.com/paper/proxylessnas-direct-neural-architecture/review/?hl=4485,ProxylessNAS: Direct Neural Architecture Search on Target Task and Hardware,2018,"Google Brain, Facebook","MIT, Stanford University",,No
NAT-M2,https://paperswithcode.com/paper/neural-architecture-transfer,97.9,4.6M,https://paperswithcode.com/paper/neural-architecture-transfer#code,https://paperswithcode.com/paper/neural-architecture-transfer/review/?hl=16573,Neural Architecture Transfer,2020,,"Southern University of Science and Technology, Michigan State University",,Yes
WRN-28-10+AutoDropout+RandAugment,https://paperswithcode.com/paper/autodropout-learning-dropout-patterns-to,97.9,36.5M,https://paperswithcode.com/paper/autodropout-learning-dropout-patterns-to#code,https://paperswithcode.com/paper/autodropout-learning-dropout-patterns-to/review/?hl=24595,AutoDropout: Learning Dropout Patterns to Regularize Deep Networks,2021,Google Brain,Carnegie Mellon University,,No
SENet + ShakeShake + Cutout,https://paperswithcode.com/paper/squeeze-and-excitation-networks,97.88,,https://paperswithcode.com/paper/squeeze-and-excitation-networks#code,https://paperswithcode.com/paper/squeeze-and-excitation-networks/review/?hl=2733,Squeeze-and-Excitation Networks,2017,Momenta,University of Oxford,,No
HCGNet-A3,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid,97.86,11.4M,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid#code,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid/review/?hl=39443,Gated Convolutional Networks with Hybrid Connectivity for Image Classification,2019,,University of Chinese Academy of Sciences,,No
ResNet-152x4-AGC,https://paperswithcode.com/paper/effect-of-large-scale-pre-training-on-full,97.82,,https://paperswithcode.com/paper/effect-of-large-scale-pre-training-on-full#code,https://paperswithcode.com/paper/effect-of-large-scale-pre-training-on-full/review/?hl=34674,Effect of Pre-Training Scale on Intra- and Inter-Domain Full and Few-Shot Transfer Learning for Natural and Medical X-Ray Chest Images,2021,Helmholtz AI,,,Yes
Mixer-B/16- SAM,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets,97.8,,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets#code,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets/review/?hl=34325,When Vision Transformers Outperform ResNets without Pre-training or Strong Data Augmentations,2021,Google ,UCLA,,Yes
