Model,Paper Link,Accuracy,Extra Training Data,Title,Github Href,Paper Href,Year,Parameters,Industry Affiliation,Academia Affiliation,Country
EffNet-L2,https://paperswithcode.com/paper/sharpness-aware-minimization-for-efficiently-1,96.08,Yes,Sharpness-Aware Minimization for Efficiently Improving Generalization,https://paperswithcode.com/paper/sharpness-aware-minimization-for-efficiently-1#code,https://paperswithcode.com/paper/sharpness-aware-minimization-for-efficiently-1/review/?hl=21318,2020,,"BlueShift, Google ",,
SWIN-L + ML-Decoder,https://paperswithcode.com/paper/ml-decoder-scalable-and-versatile,95.1,Yes,ML-Decoder: Scalable and Versatile Classification Head,https://paperswithcode.com/paper/ml-decoder-scalable-and-versatile#code,https://paperswithcode.com/paper/ml-decoder-scalable-and-versatile/review/?hl=44547,2021,,Alibaba,Damo Academy,
ViT-H/14,https://paperswithcode.com/paper/an-image-is-worth-16x16-words-transformers-1,94.55±0.04,Yes,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,https://paperswithcode.com/paper/an-image-is-worth-16x16-words-transformers-1#code,https://paperswithcode.com/paper/an-image-is-worth-16x16-words-transformers-1/review/?hl=28277,2020,,Google Brain,,
ViT-B-16,https://paperswithcode.com/paper/imagenet-21k-pretraining-for-the-masses,94.2,Yes,ImageNet-21K Pretraining for the Masses,https://paperswithcode.com/paper/imagenet-21k-pretraining-for-the-masses#code,https://paperswithcode.com/paper/imagenet-21k-pretraining-for-the-masses/review/?hl=30597,2021,,Alibaba,Damo Academy,
CvT-W24,https://paperswithcode.com/paper/cvt-introducing-convolutions-to-vision,94.09,Yes,CvT: Introducing Convolutions to Vision Transformers,https://paperswithcode.com/paper/cvt-introducing-convolutions-to-vision#code,https://paperswithcode.com/paper/cvt-introducing-convolutions-to-vision/review/?hl=29256,2021,,Microsoft Cloud AI,McGill University,
ViT-L/16,https://paperswithcode.com/paper/an-image-is-worth-16x16-words-transformers-1,93.90±0.05,Yes,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,https://paperswithcode.com/paper/an-image-is-worth-16x16-words-transformers-1#code,https://paperswithcode.com/paper/an-image-is-worth-16x16-words-transformers-1/review/?hl=28278,2020,,Google Brain,,
BiT-L,https://paperswithcode.com/paper/large-scale-learning-of-general-visual,93.51,Yes,Big Transfer (BiT): General Visual Representation Learning,https://paperswithcode.com/paper/large-scale-learning-of-general-visual#code,https://paperswithcode.com/paper/large-scale-learning-of-general-visual/review/?hl=9480,2019,,Google Brain,,Switzerland
CaiT-M-36 U 224,https://paperswithcode.com/paper/going-deeper-with-image-transformers,93.1,Yes,Going deeper with Image Transformers,https://paperswithcode.com/paper/going-deeper-with-image-transformers#code,https://paperswithcode.com/paper/going-deeper-with-image-transformers/review/?hl=29444,2021,,Facebook AI Research,Sorbonne University,
TResNet-L-V2,https://paperswithcode.com/paper/tresnet-high-performance-gpu-dedicated,92.6,Yes,TResNet: High Performance GPU-Dedicated Architecture,https://paperswithcode.com/paper/tresnet-high-performance-gpu-dedicated#code,https://paperswithcode.com/paper/tresnet-high-performance-gpu-dedicated/review/?hl=24240,2020,,Alibaba,,
EfficientNetV2-L,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster,92.3,Yes,EfficientNetV2: Smaller Models and Faster Training,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster#code,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster/review/?hl=29458,2021,,Google Brain,,
