Ranking,Model,Paper Title,Accuracy,Parameters,Parameters (missing),Paper Link,Year,Tags,Industry Affiliation,Academia Affiliation
1,CoAtNet-7,CoAtNet: Marrying Convolution and Attention for All Data Sizes,90.88%,,2440M,https://paperswithcode.com/paper/coatnet-marrying-convolution-and-attention,2021,Conv+Transformer,Google Brain,
2,ViT-G/14,Scaling Vision Transformers,90.45%,,1843M,https://paperswithcode.com/paper/scaling-vision-transformers,2021,Transformer,Google Brain,
3,CoAtNet-6,CoAtNet: Marrying Convolution and Attention for All Data Sizes,90.45%,,1470M,https://paperswithcode.com/paper/coatnet-marrying-convolution-and-attention,2021,Conv+Transformer,Google Brain,
4,ViT-MoE-15B,Scaling Vision with Sparse Mixture of Experts,90.35%,,14700M,https://paperswithcode.com/paper/scaling-vision-with-sparse-mixture-of-experts,2021,Transformer,Google Brain,
5,Meta Pseudo Labels,Meta Pseudo Labels,90.20%,98.8,480M,https://paperswithcode.com/paper/meta-pseudo-labels,2021,EfficientNet,Google Brain,
6,SwinV2-G,Swin Transformer V2: Scaling Up Capacity and Resolution,90.17%,,,https://paperswithcode.com/paper/swin-transformer-v2-scaling-up-capacity-and,2021,,Microsoft Asia,
7,Florence-CoSwin-H,Florence: A New Foundation Model for Computer Vision,90.05%,99.02,,https://paperswithcode.com/paper/florence-a-new-foundation-model-for-computer,2021,,Microsoft,
8,Meta Pseudo Labels,Meta Pseudo Labels,90%,98.7,390M,https://paperswithcode.com/paper/meta-pseudo-labels,2021,EfficientNet,Google Brain,
9,NFNet-F4+,High-Performance Large-Scale Image Recognition Without Normalization,89.20%,,527M,https://paperswithcode.com/paper/high-performance-large-scale-image,2021,JFT-300M,DeepMind,
10,TokenLearner L/8,TokenLearner: What Can 8 Learned Tokens Do for Images and Videos?,88.87%,,460M,https://paperswithcode.com/paper/tokenlearner-what-can-8-learned-tokens-do-for,2021,,Google ,Stony Brook University
11,ALIGN,Scaling Up Visual and Vision-Language Representation Learning With Noisy Text Supervision,88.64%,98.67%,480M,https://paperswithcode.com/paper/scaling-up-visual-and-vision-language,2021,EfficientNet,Google,
12,EfficientNet-L2-475,Sharpness-Aware Minimization for Efficiently Improving Generalization,88.61%,,480M,https://paperswithcode.com/paper/sharpness-aware-minimization-for-efficiently-1,2020,EfficientNet,"Google, BlueShift",
13,BEiT-L,BEiT: BERT Pre-Training of Image Transformers,88.60%,98.66%,331M,https://paperswithcode.com/paper/beit-bert-pre-training-of-image-transformers,2021,Transformer,Microsoft Cloud AI,
