Model,Paper-Link,Error ,Accuracy,Title,github href,paper href,Year,Industry Affiliation,Academia Affiliation,Country
Homogeneous ensemble with Simple CNN,https://paperswithcode.com/paper/an-ensemble-of-simple-convolutional-neural,0.09,99.91,An Ensemble of Simple Convolutional Neural Network Models for MNIST Digit Recognition,https://paperswithcode.com/paper/an-ensemble-of-simple-convolutional-neural#code,https://paperswithcode.com/paper/an-ensemble-of-simple-convolutional-neural#results,2020,,Sogang University,
Branching/Merging CNN + Homogeneous Vector Capsules,https://paperswithcode.com/paper/a-branching-and-merging-convolutional-network,0.13,99.87,No Routing Needed Between Capsules,https://paperswithcode.com/paper/a-branching-and-merging-convolutional-network#code,https://paperswithcode.com/paper/a-branching-and-merging-convolutional-network/review/?hl=9799,2020,,"Brunel University London, Bradley University",
EnsNet,https://paperswithcode.com/paper/ensemble-learning-in-cnn-augmented-with-fully,0.16,99.84,Ensemble learning in CNN augmented with fully connected subnetworks,,https://paperswithcode.com/paper/ensemble-learning-in-cnn-augmented-with-fully/review/?hl=15931,2020,,Okayama University,
Efficient-CapsNet,https://paperswithcode.com/paper/efficient-capsnet-capsule-network-with-self,0.16,99.84,Efficient-CapsNet: Capsule Network with Self-Attention Routing,https://paperswithcode.com/paper/efficient-capsnet-capsule-network-with-self#code,https://paperswithcode.com/paper/efficient-capsnet-capsule-network-with-self/review/?hl=24996,2021,,Politecnico di Torino,
SOPCNN,https://paperswithcode.com/paper/stochastic-optimization-of-plain,0.17,99.83,Stochastic Optimization of Plain Convolutional Neural Networks with Simple methods,,https://paperswithcode.com/paper/stochastic-optimization-of-plain#results,2020,,Pace University,
RMDL,https://paperswithcode.com/paper/rmdl-random-multimodel-deep-learning-for,0.18,99.82,RMDL: Random Multimodel Deep Learning for Classification,https://paperswithcode.com/paper/rmdl-random-multimodel-deep-learning-for#code,https://paperswithcode.com/paper/rmdl-random-multimodel-deep-learning-for/review/?hl=11256,2018,,University of Virginia,
DropConnect,https://paperswithcode.com/paper/regularization-of-neural-networks-using,0.21,99.79,Regularization of Neural Networks using DropConnect,https://paperswithcode.com/paper/regularization-of-neural-networks-using#code,https://paperswithcode.com/paper/regularization-of-neural-networks-using#results,2013,,New York University,
MCDNN,https://paperswithcode.com/paper/multi-column-deep-neural-networks-for-image,0.23,,Multi-column Deep Neural Networks for Image Classification,https://paperswithcode.com/paper/multi-column-deep-neural-networks-for-image#code,https://paperswithcode.com/paper/multi-column-deep-neural-networks-for-image/review/?hl=629,2012,,IDSIA,
APAC,https://paperswithcode.com/paper/apac-augmented-pattern-classification-with,0.23,,APAC: Augmented PAttern Classification with Neural Networks,,https://paperswithcode.com/paper/apac-augmented-pattern-classification-with/review/?hl=643,2015,Denso Corp.,,
BNM NiN,https://paperswithcode.com/paper/batch-normalized-maxout-network-in-network,0.24,,Batch-normalized Maxout Network in Network,https://paperswithcode.com/paper/batch-normalized-maxout-network-in-network#code,https://paperswithcode.com/paper/batch-normalized-maxout-network-in-network/review/?hl=652,2015,,National Chiao Tung University,
