model,paper-link,accuracy,title,github href,paper href,year
Wide-ResNet-101,https://paperswithcode.com/paper/spinalnet-deep-neural-network-with-gradual-1,98.66,SpinalNet: Deep Neural Network with Gradual Input,https://paperswithcode.com/paper/spinalnet-deep-neural-network-with-gradual-1#code,https://paperswithcode.com/paper/spinalnet-deep-neural-network-with-gradual-1/review/?hl=19850,2020
CN,https://paperswithcode.com/paper/toward-understanding-supervised,98.45,Toward Understanding Supervised Representation Learning with RKHS and GAN,,https://paperswithcode.com/paper/toward-understanding-supervised#results,2021
CN,https://paperswithcode.com/paper/toward-understanding-supervised,98.36,Toward Understanding Supervised Representation Learning with RKHS and GAN,,https://paperswithcode.com/paper/toward-understanding-supervised#results,2021
NSRL+CN,https://paperswithcode.com/paper/toward-understanding-supervised,98.36,Toward Understanding Supervised Representation Learning with RKHS and GAN,,https://paperswithcode.com/paper/toward-understanding-supervised#results,2021
NSRL+CN,https://paperswithcode.com/paper/toward-understanding-supervised,98.34,Toward Understanding Supervised Representation Learning with RKHS and GAN,,https://paperswithcode.com/paper/toward-understanding-supervised#results,2021
NSRL+CN,https://paperswithcode.com/paper/toward-understanding-supervised,98.24,Toward Understanding Supervised Representation Learning with RKHS and GAN,,https://paperswithcode.com/paper/toward-understanding-supervised#results,2021
CN,https://paperswithcode.com/paper/toward-understanding-supervised,98.17,Toward Understanding Supervised Representation Learning with RKHS and GAN,,https://paperswithcode.com/paper/toward-understanding-supervised#results,2021
NAT-M4,https://paperswithcode.com/paper/neural-architecture-transfer,97.9,Neural Architecture Transfer,https://paperswithcode.com/paper/neural-architecture-transfer#code,https://paperswithcode.com/paper/neural-architecture-transfer/review/?hl=16591,2020
NAT-M3,https://paperswithcode.com/paper/neural-architecture-transfer,97.8,Neural Architecture Transfer,https://paperswithcode.com/paper/neural-architecture-transfer#code,https://paperswithcode.com/paper/neural-architecture-transfer/review/?hl=16592,2020
NAT-M2,https://paperswithcode.com/paper/neural-architecture-transfer,97.2,Neural Architecture Transfer,https://paperswithcode.com/paper/neural-architecture-transfer#code,https://paperswithcode.com/paper/neural-architecture-transfer/review/?hl=16593,2020
iGPT-L,https://paperswithcode.com/paper/generative-pretraining-from-pixels,97.1,Generative Pretraining from Pixels,https://paperswithcode.com/paper/generative-pretraining-from-pixels#code,https://paperswithcode.com/paper/generative-pretraining-from-pixels#results,2020
NAT-M1,https://paperswithcode.com/paper/neural-architecture-transfer,96.7,Neural Architecture Transfer,https://paperswithcode.com/paper/neural-architecture-transfer#code,https://paperswithcode.com/paper/neural-architecture-transfer/review/?hl=16594,2020
EnAET,https://paperswithcode.com/paper/enaet-self-trained-ensemble-autoencoding,95.48,EnAET: A Self-Trained framework for Semi-Supervised and Supervised Learning with Ensemble Transformations,https://paperswithcode.com/paper/enaet-self-trained-ensemble-autoencoding#code,https://paperswithcode.com/paper/enaet-self-trained-ensemble-autoencoding/review/?hl=8860,2019
VGG-19bn,https://paperswithcode.com/paper/spinalnet-deep-neural-network-with-gradual-1,95.44,SpinalNet: Deep Neural Network with Gradual Input,https://paperswithcode.com/paper/spinalnet-deep-neural-network-with-gradual-1#code,https://paperswithcode.com/paper/spinalnet-deep-neural-network-with-gradual-1/review/?hl=19871,2020
FixMatch,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1,94.83,FixMatch: Simplifying Semi-Supervised Learning with Consistency and Confidence,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1#code,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1#results,2020
ReMixMatch,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1,94.77,FixMatch: Simplifying Semi-Supervised Learning with Consistency and Confidence,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1#code,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1#results,2020
AMDIM,https://paperswithcode.com/paper/190600910,94.5,Learning Representations by Maximizing Mutual Information Across Views,https://paperswithcode.com/paper/190600910#code,https://paperswithcode.com/paper/190600910#results,2019
MixMatch,https://paperswithcode.com/paper/mixmatch-a-holistic-approach-to-semi,94.41,MixMatch: A Holistic Approach to Semi-Supervised Learning,https://paperswithcode.com/paper/mixmatch-a-holistic-approach-to-semi#code,https://paperswithcode.com/paper/mixmatch-a-holistic-approach-to-semi/review/?hl=6157,2019
AMDIM-L,https://paperswithcode.com/paper/generative-pretraining-from-pixels,94.2,Generative Pretraining from Pixels,https://paperswithcode.com/paper/generative-pretraining-from-pixels#code,https://paperswithcode.com/paper/generative-pretraining-from-pixels#results,2020
ReMixMatch,https://paperswithcode.com/paper/remixmatch-semi-supervised-learning-with-1,93.82,ReMixMatch: Semi-Supervised Learning with Distribution Alignment and Augmentation Anchoring,https://paperswithcode.com/paper/remixmatch-semi-supervised-learning-with-1#code,https://paperswithcode.com/paper/remixmatch-semi-supervised-learning-with-1/review/?hl=20216,2019
AMDIM,https://paperswithcode.com/paper/a-framework-for-contrastive-self-supervised,93.80,A Framework For Contrastive Self-Supervised Learning And Designing A New Approach,https://paperswithcode.com/paper/a-framework-for-contrastive-self-supervised#code,https://paperswithcode.com/paper/a-framework-for-contrastive-self-supervised/review/?hl=19920,2020
ReMixMatch,https://paperswithcode.com/paper/remixmatch-semi-supervised-learning-with-1,93.23,ReMixMatch: Semi-Supervised Learning with Distribution Alignment and Augmentation Anchoring,https://paperswithcode.com/paper/remixmatch-semi-supervised-learning-with-1#code,https://paperswithcode.com/paper/remixmatch-semi-supervised-learning-with-1/review/?hl=20215,2019
MP*,https://paperswithcode.com/paper/increasing-trustworthiness-of-deep-neural,93.19,Increasing Trustworthiness of Deep Neural Networks via Accuracy Monitoring,,https://paperswithcode.com/paper/increasing-trustworthiness-of-deep-neural/review/?hl=19903,2020
UDA,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1,92.34,FixMatch: Simplifying Semi-Supervised Learning with Consistency and Confidence,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1#code,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1#results,2020
YADIM,https://paperswithcode.com/paper/a-framework-for-contrastive-self-supervised,92.15,A Framework For Contrastive Self-Supervised Learning And Designing A New Approach,https://paperswithcode.com/paper/a-framework-for-contrastive-self-supervised#code,https://paperswithcode.com/paper/a-framework-for-contrastive-self-supervised/review/?hl=19921,2020
FixMatch,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1,92.02,FixMatch: Simplifying Semi-Supervised Learning with Consistency and Confidence,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1#code,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1#results,2020
NSGANetV2,https://paperswithcode.com/paper/nsganetv2-evolutionary-multi-objective,92.0,NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search,https://paperswithcode.com/paper/nsganetv2-evolutionary-multi-objective#code,https://paperswithcode.com/paper/nsganetv2-evolutionary-multi-objective/review/?hl=19908,2020
SESN,https://paperswithcode.com/paper/scale-equivariant-steerable-networks-1,91.49,Scale-Equivariant Steerable Networks,,https://paperswithcode.com/paper/scale-equivariant-steerable-networks-1/review/?hl=19315,2019
Harmonic WRN-16-8,https://paperswithcode.com/paper/harmonic-networks-with-limited-training,90.45,Harmonic Networks with Limited Training Samples,https://paperswithcode.com/paper/harmonic-networks-with-limited-training#code,https://paperswithcode.com/paper/harmonic-networks-with-limited-training/review/?hl=6163,2019
wrn16/8 D8 D4 D1,https://paperswithcode.com/paper/general-e2-equivariant-steerable-cnns-1,90.20,General -Equivariant Steerable CNNs,https://paperswithcode.com/paper/general-e2-equivariant-steerable-cnns-1#code,https://paperswithcode.com/paper/general-e2-equivariant-steerable-cnns-1#results,2019
MixMatch,https://paperswithcode.com/paper/remixmatch-semi-supervised-learning-with-1,89.82,ReMixMatch: Semi-Supervised Learning with Distribution Alignment and Augmentation Anchoring,https://paperswithcode.com/paper/remixmatch-semi-supervised-learning-with-1#code,https://paperswithcode.com/paper/remixmatch-semi-supervised-learning-with-1/review/?hl=20214,2019
MixMatch,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1,89.59,FixMatch: Simplifying Semi-Supervised Learning with Consistency and Confidence,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1#code,https://paperswithcode.com/paper/fixmatch-simplifying-semi-supervised-learning-1#results,2020
wrn16/8* D8 D4 D1,https://paperswithcode.com/paper/general-e2-equivariant-steerable-cnns-1,89.43,General -Equivariant Steerable CNNs,https://paperswithcode.com/paper/general-e2-equivariant-steerable-cnns-1#code,https://paperswithcode.com/paper/general-e2-equivariant-steerable-cnns-1#results,2019
