text-center,paper-title,paper-title href,small,metric-report,metric-report 2,ionicon,meta-information,github href,paper href,meta-information 2,metric-report 3,badge
1,GPT-3,https://paperswithcode.com/paper/language-models-are-few-shot-learners,(Zero-Shot),20.5,175000M,Checkmark,Language Models are Few-Shot Learners,https://paperswithcode.com/paper/language-models-are-few-shot-learners#code,https://paperswithcode.com/paper/language-models-are-few-shot-learners/review/?hl=16792,2020,,
2,BERT-Large-CAS,https://paperswithcode.com/paper/190409408,,31.3,36.1,Checkmark,Language Models with Transformers,https://paperswithcode.com/paper/190409408#code,https://paperswithcode.com/paper/190409408/review/?hl=18142,2019,395M,
3,GPT-2,https://paperswithcode.com/paper/language-models-are-unsupervised-multitask,,35.76,1542M,Checkmark,Language Models are Unsupervised Multitask Learners,https://paperswithcode.com/paper/language-models-are-unsupervised-multitask#code,https://paperswithcode.com/paper/language-models-are-unsupervised-multitask#results,2019,,
4,Mogrifier LSTM + dynamic eval,https://paperswithcode.com/paper/mogrifier-lstm,,44.9,44.8,Close,Mogrifier LSTM,https://paperswithcode.com/paper/mogrifier-lstm#code,https://paperswithcode.com/paper/mogrifier-lstm/review/?hl=16863,2019,24M,LSTM
5,adversarial + AWD-LSTM-MoS + dynamic eval,https://paperswithcode.com/paper/improving-neural-language-modeling-via,,46.01,46.63,Close,Improving Neural Language Modeling via Adversarial Training,https://paperswithcode.com/paper/improving-neural-language-modeling-via#code,https://paperswithcode.com/paper/improving-neural-language-modeling-via/review/?hl=6160,2019,22M,LSTM
6,GL-LWGC + AWD-MoS-LSTM + dynamic eval,https://paperswithcode.com/paper/gradual-learning-of-recurrent-neural-networks,,46.34,46.64,Close,Gradual Learning of Recurrent Neural Networks,https://paperswithcode.com/paper/gradual-learning-of-recurrent-neural-networks#code,https://paperswithcode.com/paper/gradual-learning-of-recurrent-neural-networks/review/?hl=19297,2018,26M,LSTM
7,FRAGE + AWD-LSTM-MoS + dynamic eval,https://paperswithcode.com/paper/frage-frequency-agnostic-word-representation,,46.54,47.38,Close,FRAGE: Frequency-Agnostic Word Representation,https://paperswithcode.com/paper/frage-frequency-agnostic-word-representation#code,https://paperswithcode.com/paper/frage-frequency-agnostic-word-representation/review/?hl=3477,2018,22M,LSTM
8,AWD-LSTM-DOC x5,https://paperswithcode.com/paper/direct-output-connection-for-a-high-rank,,47.17,48.63,Close,Direct Output Connection for a High-Rank Language Model,https://paperswithcode.com/paper/direct-output-connection-for-a-high-rank#code,https://paperswithcode.com/paper/direct-output-connection-for-a-high-rank/review/?hl=218,2018,185M,LSTM
9,Past Decode Reg. + AWD-LSTM-MoS + dyn. eval.,https://paperswithcode.com/paper/improved-language-modeling-by-decoding-the,,47.3,48.0,Close,Improved Language Modeling by Decoding the Past,,https://paperswithcode.com/paper/improved-language-modeling-by-decoding-the/review/?hl=3957,2018,22M,LSTM
10,AWD-LSTM-MoS + dynamic eval,https://paperswithcode.com/paper/breaking-the-softmax-bottleneck-a-high-rank,,47.69,48.33,Close,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,https://paperswithcode.com/paper/breaking-the-softmax-bottleneck-a-high-rank#code,https://paperswithcode.com/paper/breaking-the-softmax-bottleneck-a-high-rank/review/?hl=219,2017,22M,LSTM
11,AWD-LSTM-DRILL + dynamic eval,https://paperswithcode.com/paper/deep-residual-output-layers-for-neural,,49.4,49.5,Close,Deep Residual Output Layers for Neural Language Generation,https://paperswithcode.com/paper/deep-residual-output-layers-for-neural#code,https://paperswithcode.com/paper/deep-residual-output-layers-for-neural/review/?hl=9801,2019,24M,LSTM
12,Dense IndRNN+dynamic eval,https://paperswithcode.com/paper/deep-independently-recurrent-neural-network,,50.97,,Close,Deep Independently Recurrent Neural Network (IndRNN),https://paperswithcode.com/paper/deep-independently-recurrent-neural-network#code,https://paperswithcode.com/paper/deep-independently-recurrent-neural-network/review/?hl=8317,2019,,
13,AWD-LSTM + dynamic eval,https://paperswithcode.com/paper/dynamic-evaluation-of-neural-sequence-models,,51.1,51.6,Close,Dynamic Evaluation of Neural Sequence Models,https://paperswithcode.com/paper/dynamic-evaluation-of-neural-sequence-models#code,https://paperswithcode.com/paper/dynamic-evaluation-of-neural-sequence-models/review/?hl=220,2017,24M,LSTM
