text-center,paper-title,paper-title href,metric-report,metric-report 2,ionicon,meta-information,github href,paper href,meta-information 2,badge,small,metric-report 3
1,Megatron-LM,https://paperswithcode.com/paper/megatron-lm-training-multi-billion-parameter,10.81,8300M,Checkmark,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,https://paperswithcode.com/paper/megatron-lm-training-multi-billion-parameter#code,https://paperswithcode.com/paper/megatron-lm-training-multi-billion-parameter/review/?hl=7720,2019,Transformer,,
2,GLM-XXLarge,https://paperswithcode.com/paper/all-nlp-tasks-are-generation-tasks-a-general,11.33,10000M,Close,All NLP Tasks Are Generation Tasks: A General Pretraining Framework,https://paperswithcode.com/paper/all-nlp-tasks-are-generation-tasks-a-general#code,https://paperswithcode.com/paper/all-nlp-tasks-are-generation-tasks-a-general/review/?hl=39824,2021,,(bidirectional),
3,GLM-XXLarge,https://paperswithcode.com/paper/all-nlp-tasks-are-generation-tasks-a-general,12.22,10000M,Close,All NLP Tasks Are Generation Tasks: A General Pretraining Framework,https://paperswithcode.com/paper/all-nlp-tasks-are-generation-tasks-a-general#code,https://paperswithcode.com/paper/all-nlp-tasks-are-generation-tasks-a-general/review/?hl=39825,2021,,(unidirectional),
4,kNN-LM,https://paperswithcode.com/paper/generalization-through-memorization-nearest,15.79,15.81,Close,Generalization through Memorization: Nearest Neighbor Language Models,https://paperswithcode.com/paper/generalization-through-memorization-nearest#code,https://paperswithcode.com/paper/generalization-through-memorization-nearest/review/?hl=8697,2019,,,247M
5,Routing Transformer,https://paperswithcode.com/paper/efficient-content-based-sparse-attention-with-1,15.8,,Close,Efficient Content-Based Sparse Attention with Routing Transformers,https://paperswithcode.com/paper/efficient-content-based-sparse-attention-with-1#code,https://paperswithcode.com/paper/efficient-content-based-sparse-attention-with-1/review/?hl=17070,2020,Transformer,,
6,Transformer-XL,https://paperswithcode.com/paper/dynamic-evaluation-of-transformer-language,16.4,15.8,Close,Dynamic Evaluation of Transformer Language Models,https://paperswithcode.com/paper/dynamic-evaluation-of-transformer-language#code,https://paperswithcode.com/paper/dynamic-evaluation-of-transformer-language/review/?hl=5037,2019,Transformer,(RMS dynamic eval),257M
7,Transformer-XL,https://paperswithcode.com/paper/dynamic-evaluation-of-transformer-language,17.0,16.3,Close,Dynamic Evaluation of Transformer Language Models,https://paperswithcode.com/paper/dynamic-evaluation-of-transformer-language#code,https://paperswithcode.com/paper/dynamic-evaluation-of-transformer-language/review/?hl=6402,2019,Transformer,(SGD dynamic eval),257M
8,Compressive Transformer,https://paperswithcode.com/paper/compressive-transformers-for-long-range-1,17.1,16.0,Close,Compressive Transformers for Long-Range Sequence Modelling,https://paperswithcode.com/paper/compressive-transformers-for-long-range-1#code,https://paperswithcode.com/paper/compressive-transformers-for-long-range-1/review/?hl=8044,2019,Transformer,"(18L, M=1024)",
9,SRU++ Large,https://paperswithcode.com/paper/when-attention-meets-fast-recurrence-training,17.1,16.4,Close,When Attention Meets Fast Recurrence: Training Language Models with Reduced Compute,https://paperswithcode.com/paper/when-attention-meets-fast-recurrence-training#code,https://paperswithcode.com/paper/when-attention-meets-fast-recurrence-training/review/?hl=26853,2021,,,234M
10,SegaTransformer-XL,https://paperswithcode.com/paper/segabert-pre-training-of-segment-aware-bert,17.1,257M,Close,Segatron: Segment-Aware Transformer for Language Modeling and Understanding,https://paperswithcode.com/paper/segabert-pre-training-of-segment-aware-bert#code,https://paperswithcode.com/paper/segabert-pre-training-of-segment-aware-bert/review/?hl=26088,2020,Transformer,,
11,Transformer-XL Large + Phrase Induction,https://paperswithcode.com/paper/improving-neural-language-models-by,17.4,257M,Close,"Improving Neural Language Models by Segmenting, Attending, and Predicting the Future",https://paperswithcode.com/paper/improving-neural-language-models-by#code,https://paperswithcode.com/paper/improving-neural-language-models-by/review/?hl=10213,2019,Transformer,,
12,GPT-2 Full,https://paperswithcode.com/paper/language-models-are-unsupervised-multitask,17.48,1542M,Checkmark,Language Models are Unsupervised Multitask Learners,https://paperswithcode.com/paper/language-models-are-unsupervised-multitask#code,https://paperswithcode.com/paper/language-models-are-unsupervised-multitask#results,2019,Transformer,,
13,Staged Training,https://paperswithcode.com/paper/shortformer-better-language-modeling-using,17.56,16.89,Close,Shortformer: Better Language Modeling using Shorter Inputs,https://paperswithcode.com/paper/shortformer-better-language-modeling-using#code,https://paperswithcode.com/paper/shortformer-better-language-modeling-using/review/?hl=24707,2020,Transformer,,247M
14,Sandwich Transformer,https://paperswithcode.com/paper/improving-transformer-models-by-reordering,17.96,247M,Close,Improving Transformer Models by Reordering their Sublayers,https://paperswithcode.com/paper/improving-transformer-models-by-reordering#code,https://paperswithcode.com/paper/improving-transformer-models-by-reordering/review/?hl=17478,2019,Transformer,,
