Model,Paper Link,BLEU Score,Extra Training Data,github href,paper href,Title,Year,Industry Affiliation,Academia Affiliation,Country
Transformer+BT,https://paperswithcode.com/paper/very-deep-transformers-for-neural-machine,46.4,Yes,https://paperswithcode.com/paper/very-deep-transformers-for-neural-machine#code,https://paperswithcode.com/paper/very-deep-transformers-for-neural-machine/review/?hl=21220,Very Deep Transformers for Neural Machine Translation,2020,Microsoft,"Johns Hopkins University, UIUC",
Noisy back-translation,https://paperswithcode.com/paper/understanding-back-translation-at-scale,45.6,Yes,https://paperswithcode.com/paper/understanding-back-translation-at-scale#code,https://paperswithcode.com/paper/understanding-back-translation-at-scale/review/?hl=117,Understanding Back-Translation at Scale,2018,"Facebook AI Research, Google Brain",,
mRASP+Fine-Tune,https://paperswithcode.com/paper/pre-training-multilingual-neural-machine,44.3,Yes,https://paperswithcode.com/paper/pre-training-multilingual-neural-machine#code,https://paperswithcode.com/paper/pre-training-multilingual-neural-machine/review/?hl=20788,Pre-training Multilingual Neural Machine Translation by Leveraging Alignment Information,2020,ByteDance,Fudan University,
Transformer + R-Drop,https://paperswithcode.com/paper/r-drop-regularized-dropout-for-neural,43.95,No,https://paperswithcode.com/paper/r-drop-regularized-dropout-for-neural#code,https://paperswithcode.com/paper/r-drop-regularized-dropout-for-neural/review/?hl=36287,R-Drop: Regularized Dropout for Neural Networks,2021,Microsoft Asia,Soochow University,
Transformer,https://paperswithcode.com/paper/very-deep-transformers-for-neural-machine,43.8,No,https://paperswithcode.com/paper/very-deep-transformers-for-neural-machine#code,https://paperswithcode.com/paper/very-deep-transformers-for-neural-machine/review/?hl=19190,Very Deep Transformers for Neural Machine Translation,2020,Microsoft,"Johns Hopkins University, UIUC",
Admin,https://paperswithcode.com/paper/understanding-the-difficulty-of-training,43.8,No,https://paperswithcode.com/paper/understanding-the-difficulty-of-training#code,https://paperswithcode.com/paper/understanding-the-difficulty-of-training/review/?hl=26105,Understanding the Difficulty of Training Transformers,2020,Microsoft,UIUC,
BERT-fused NMT,https://paperswithcode.com/paper/incorporating-bert-into-neural-machine-1,43.78,No,https://paperswithcode.com/paper/incorporating-bert-into-neural-machine-1#code,https://paperswithcode.com/paper/incorporating-bert-into-neural-machine-1/review/?hl=33216,Incorporating BERT into Neural Machine Translation,2020,Microsoft Asia,"University of Science and Technology China, SunYat-sen University, Peking University",
MUSE,https://paperswithcode.com/paper/muse-parallel-multi-scale-attention-for,43.5,No,https://paperswithcode.com/paper/muse-parallel-multi-scale-attention-for#code,https://paperswithcode.com/paper/muse-parallel-multi-scale-attention-for/review/?hl=8787,MUSE: Parallel Multi-Scale Attention for Sequence to Sequence Learning,2019,,Peking University,
T5,https://paperswithcode.com/paper/exploring-the-limits-of-transfer-learning,43.4,Yes,https://paperswithcode.com/paper/exploring-the-limits-of-transfer-learning#code,https://paperswithcode.com/paper/exploring-the-limits-of-transfer-learning/review/?hl=8789,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,2019,Google,,
Local Joint Self-attention,https://paperswithcode.com/paper/190506596,43.3,No,https://paperswithcode.com/paper/190506596#code,https://paperswithcode.com/paper/190506596/review/?hl=5700,Joint Source-Target Self Attention with Locality Constraints,2019,,Universitat Politecnica de Catalunya,
Depth Growing,https://paperswithcode.com/paper/depth-growing-for-neural-machine-translation,43.27,No,https://paperswithcode.com/paper/depth-growing-for-neural-machine-translation#code,https://paperswithcode.com/paper/depth-growing-for-neural-machine-translation/review/?hl=5864,Depth Growing for Neural Machine Translation,2019,Microsoft Asia,"UIUC, SunYat-sen University",
Transformer Big,https://paperswithcode.com/paper/scaling-neural-machine-translation,43.2,No,https://paperswithcode.com/paper/scaling-neural-machine-translation#code,https://paperswithcode.com/paper/scaling-neural-machine-translation/review/?hl=118,Scaling Neural Machine Translation,2018,"Facebook AI Research, Google Brain",,
TaLK Convolutions,https://paperswithcode.com/paper/time-aware-large-kernel-convolutions,43.2,No,https://paperswithcode.com/paper/time-aware-large-kernel-convolutions#code,https://paperswithcode.com/paper/time-aware-large-kernel-convolutions/review/?hl=9913,Time-aware Large Kernel Convolutions,2020,,Carleton University,
LightConv,https://paperswithcode.com/paper/pay-less-attention-with-lightweight-and,43.1,No,https://paperswithcode.com/paper/pay-less-attention-with-lightweight-and#code,https://paperswithcode.com/paper/pay-less-attention-with-lightweight-and/review/?hl=3485,Pay Less Attention with Lightweight and Dynamic Convolutions,2019,Facebook AI Research,Cornell University,
FLOATER-large,https://paperswithcode.com/paper/learning-to-encode-position-for-transformer,42.7,No,https://paperswithcode.com/paper/learning-to-encode-position-for-transformer#code,https://paperswithcode.com/paper/learning-to-encode-position-for-transformer/review/?hl=26104,Learning to Encode Position for Transformer with Continuous Dynamical Model,2020,Amazon,"UT Austin, UCLA",
OmniNetP,https://paperswithcode.com/paper/omninet-omnidirectional-representations-from,42.6,No,https://paperswithcode.com/paper/omninet-omnidirectional-representations-from#code,https://paperswithcode.com/paper/omninet-omnidirectional-representations-from/review/?hl=27562,OmniNet: Omnidirectional Representations from Transformers,2021,"Google, Google Brain",,Netherlands
Transformer Big + MoS,https://paperswithcode.com/paper/fast-and-simple-mixture-of-softmaxes-with-bpe,42.1,No,https://paperswithcode.com/paper/fast-and-simple-mixture-of-softmaxes-with-bpe#code,https://paperswithcode.com/paper/fast-and-simple-mixture-of-softmaxes-with-bpe/review/?hl=7256,Fast and Simple Mixture of Softmaxes with BPE and Hybrid-LightRNN for Language Generation,2018,,Carnegie Mellon University,
T2R + Pretrain,https://paperswithcode.com/paper/finetuning-pretrained-transformers-into-rnns,42.1,No,https://paperswithcode.com/paper/finetuning-pretrained-transformers-into-rnns#code,https://paperswithcode.com/paper/finetuning-pretrained-transformers-into-rnns/review/?hl=28722,Finetuning Pretrained Transformers into RNNs,2021,"Microsoft, DeepMind, AI2",University of Washington,
