Model,EM Score,F1 Score,Year
IE-Net,90.939,93.214,2021
FPNet,90.871,93.183,2021
IE-NetV2,90.860,93.100,2021
SA-Net on Albert,90.724,93.011,2020
SA-Net-V2,90.679,92.948,2020
FPNet,90.600,92.899,2021
Retro-Reader,90.578,92.978,2020
EntitySpanFocusV2,90.521,92.824,2020
TransNets + SFVerifier + SFEnsembler,90.487,92.894,2021
EntitySpanFocus+AT,90.454,92.748,2020
ATRLP+PV,90.442,92.877,2020
ELECTRA+ALBERT+EntitySpanFocus,90.420,92.799,2020
ALBERT + DAAF + Verifier,90.386,92.777,2020
electra+nlayers+adv+ds,90.284,92.691,2021
MixEnsemble,90.194,92.594,2021
electra+nlayers,90.126,92.535,2020
Retro-Reader on ALBERT,90.115,92.580,2020
Retro-Reader on ALBERT,90.115,92.580,2020
ANet,90.081,92.457,2021
Answer Dependent Classify,90.059,92.517,2021
electra+nlayers+kdav,90.002,92.497,2020
ALBERT + DAAF + Verifier,90.002,92.425,2019
Electra-nlayers,89.777,92.312,2020
Albert_Verifier_AA_Net,89.743,92.180,2020
ALBERT,89.731,92.215,2019
Span Extract + Classify,89.562,92.226,2021
Retro-Reader on ELECTRA,89.562,92.052,2020
ELECTRA+ATRLP+PV,89.551,92.366,2020
albert+transform+verify,89.528,92.059,2020
albert+KD+transfer,89.461,92.134,2020
ROaD-Electra,89.449,92.118,2020
ROaD-Electra,89.449,92.118,2020
Albert-nlayers,89.404,91.964,2020
ELECTRA + E-Verifier,89.348,91.985,2021
ELECTRA + ROBERTA + ALBERT,89.325,91.994,2021
2task,89.325,91.939,2021
ALBERT + MTDA + SFVerifier,89.235,91.739,2020
ALBert-LSTM,89.224,91.853,2020
ALBERT + SFVerifier,89.133,91.666,2020
ELECTRA+RL+EV,89.021,91.765,2020
electra & albert,88.998,91.635,2020
AE-TEST,88.998,91.635,2021
ELECTRA+EntitySpanFocus,88.874,91.546,2020
SA-Net on Electra,88.851,91.486,2020
ALBERT+Entailment DA,88.761,91.745,2019
