University,Country
Aalto Univeristy,Finland
Aberystwyth University,UK
Aix Marseille University,France
Amirkabir University of Technology,Iran
Arizona State University,USA
Australian National University,Australia
Beihang University,China
Beijing Academy of Intelligence,China
Beijing Institute of Technology,USA
Beijing National Research Center for Information Science and Technology,China
Boston University,USA
Bradley University,USA
Brown University,USA
Brunel University London,UK
BUPT,China
Cairo University,Egypt
California State University,USA
Carleton University,Canada
Carnegie Mellon University,USA
CAS Center for Excellence in Brain Science and Intelligence Technology,China
CASIA,China
Chalmers University of Technology,Sweden
CIFAR,Canada
CNRS,France
Cornell University,USA
CUHK,Hong Kong
Czech Technical University in Prague,Czech Republic
Dalian University of Technology,China
Damo Academy,China
Deakin University,Australia
Delft University of Technology,Netherlands
Dublin City University,Ireland
Ecole Normale,France
EcoledesPonts Paris Tech,France
EPFL,Switzerland
Escola Politecnica-Universidadede Sao Paulo,Brazil
ETH Zurich,Switzerland
ETRI,South Korea
Federal University of Rio de Janeiro,Brazil
Fudan University,China
Georgia Tech,USA
Gwangju Institute of Science and Technology,South Korea
Hacettepe University,Turkey
Harbin Institute of Technology,China
Harvard University,USA
Hebei University of Technology,China
Hebrew University of Jerusalem,Israel
Higher School of Economics,Russia
HKUST,Hong Kong
Huazhong University of Science and Technology,China
Hunan Agricultural University,China
I2R,Singapore
Idiap Research Institute,Switzerland
IDSIA,Switzerland
IIT Bombay,India
Imperial College London,UK
Inria,France
Institut Polytechnique de Paris,France
Institute For Research In Fundamental Sciences,Iran
Institute of Information Science Academia Sinica,Taiwan
International Digital Economy Academy,China
Islamic Azad University,Iran
Jacobs University Bremen,Germany
Jagiellonian University,Poland
Jinan University,China
Johannes Kepler University,Austria
Johns Hopkins University,USA
KAIST,South Korea
KIIT,India
Korea University,South Korea
KU Leuven,Belgium
Lomonosov Moscow State University,Russia
Louisiana State University,USA
Macau University of Science and Technology,China
McGill University,USA
Michigan State University,USA
Middle East Technical University,Turkey
Mila - Quebec AI Institute,Canada
MIT,USA
Monash University,Australia
Moscow Institute of Physics and Technology,Russia
NAIST,Japan
Nanjing University,China
Nanjing University of Aeronautics and Astronautics,China
Nanjing University of Science and Technology,China
Nankai University,China
Nanyang Technological University,Singapore
Naresuan University,Thailand
National Chiao Tung University,Taiwan
National Institute of Informatics,Japan
National Research Council Canada,Canada
National Taipei University of Technology,Taiwan
National Taiwan University,Taiwan
National University of Defense Technology,China
National University of Singapore,Singapore
NC State University,USA
NERSC,USA
New Oriental AI Research Academy,China
New York University,USA
Northwestern Polytechnical University,China
Okayama University,Japan
Pace University,USA
Peking University,China
Peng Cheng Laboratory,China
Politecnico di Milano,Italy
Politecnico di Torino,Italy
Polytechnique Montreal,Canada
Poznan University of Technology,Poland
Princeton University,USA
Providence University,Taiwan
Purdue University,USA
Rice University,USA
RIKEN,Japan
RMIT University,Australia
Royal University of Bhutan,Bhutan
Russian Academy of Sciences,Russia
Rutgers University,USA
Seoul National University,South Korea
Seoul National University of Science and Technology,South Korea
Shanghai AI Lab,China
Shanghai Jiao Tong University,China
Shanghai Tech University,China
Sharif University of Technology,Iran
Shenzhen Institute of Artificial Intelligence and Robotics for Society,China
Shenzhen Institutes of Advanced Technology,China
Singapore Management University,Singapore
Skolkovo Institute of Science and Technology,Russia
Sogang University,South Korea
Soochow University,China
Sorbonne University,France
South China University of Technology,China
Southern University of Science and Technology,China
Stanford University,USA
Stony Brook University,USA
SunYat-sen University,China
Swinburne University of Technology,Australia
Tecnologico de Costa Rica,Costa Rica
Tel-Aviv University,Israel
Temple University,USA
The Chinese University of Hong Kong,Hong Kong
The University of Adelaide,Australia
The University of Hong Kong,Hong Kong
The University of Manchester,UK
The University of Tokyo,Japan
Tianjin University,China
Tokyo Institute of Technology,Japan
Tongji University,China
Trinity College,USA
Tsinghua University,China
TTI-Chicago,USA
UC Berkeley,USA
UC Davis,USA
UC Irvine,USA
UC Merced,USA
UC San Diego,USA
UCLA,USA
UIUC,USA
Ulm University,Germany
UNC Chapel Hill,USA
UNIST,South Korea
Universitat Autonoma de Barcelona,Spain
Universitat Grenoble Alpes,France
Universitat Paris-Est,France
Universitat Politecnica de Catalunya,Spain
Universitat Rovira i Virgili,Spain
Universite de Sherbrooke,Canada
Universite Paris-Saclay,France
University College London,UK
University of Agder,Norway
University of Alberta,Canada
University of Amsterdam,Netherlands
University of Arizona,USA
University of Athens,Greece
University of Bonn,Germany
University of California SantaCruz,USA
University of Cambridge,UK
University of Central Florida,USA
University of Chicago,USA
University of Chinese Academy of Sciences,China
University of Coimbra,Portugal
University of Copenhagen,Denmark
University of Denver,USA
University of Edinburgh,UK
University of Erlangen-Nuremberg,Germany
University of Freiburg,Germany
University of Le Mans,France
University of Luebeck,Germany
University of Macau,China
University of Maryland CollegePark,USA
University of Massachusetts Amherst,USA
University of Michigan,USA
University of Montreal,Canada
University of Moratuwa,Srilanka
University of Munster,Germany
University of New South Wales,Australia
University of Oregon,USA
University of Ottawa,Canada
University of Oxford,UK
University of Pittsburgh,USA
University of Rochester,USA
University of Science and Technology China,China
University of Science and Technology of Hefei,China
University of South Australia,Australia
University of Southampton,UK
University of Southern California,USA
University of Sydney,Australia
University of the Basque Country,Spain
University of Toronto,Canada
University of Virginia,USA
University of Warwick,UK
University of Washington,USA
University of Waterloo,Canada
University of Winscon-Madison,USA
University of Zurich,Switzerland
Uppsala University,Sweden
UT Austin,USA
VJTI,India
Vrije Universiteit Amsterdam,Netherlands
Vrije Universiteit Brussel,Belgium
Waseda University,Japan
Western Sydney University,Australia
Westlake University,China
Xiamen University,China
Xian Jiao Tong University,China
Xidian University,China
Yonsei University,South Korea
York University,Canada
Yunnan University,China
Zhejiang University,China
Zhengzhou University,China
